Year,Player,Age,Pos,All NBA,All NBA Acc,All NBA Total Career,G,GS,MP,MPpG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGpG,FGA,FGApG,FG%,3P,3PpG,3PA,3PApG,3P%,2P,2PA,2P%,eFG%,FT,FTpG,FTA,FTApG,FT%,ORB,ORBpG,DRB,DRBpG,TRB,TRBpG,AST,ASTpG,STL,STLpG,BLK,BLKpG,TOV,TOVpG,PF,PFpG,PTS,PTSpG
2019,Luka Doncic,20,9,0,0,0,72,72,2318,32.2,19.68,0.545,0.433,0.409,4,21.9,13,31.6,1.6,0.9,15,30.5,2.1,2.8,4.9,0.101,2.9,1.2,4.1,3.6,506,7,1186,16.5,0.427,168,2.3,514,7.1,0.327,506,672,0.753,0.497,346,4.8,485,6.7,0.713,86,1.2,477,6.6,563,0.713,429,6,77,1.1,25,0.3,247,3.4,137,1.9,1526,21.2
2016,Karl-Anthony Towns,20,0,0,0,2,82,82,2627,32,22.5,0.59,0.076,0.239,10.2,27.5,19,11.3,1.1,4.3,12.6,24.9,5.4,2.8,8.3,0.151,1.6,1.2,2.8,3.1,625,7.6,1153,14.1,0.542,30,0.4,88,1.1,0.341,595,1065,0.559,0.555,223,2.7,275,3.4,0.811,229,2.8,629,7.7,858,10.5,161,2,58,0.7,138,1.7,183,2.2,245,3,1503,18.3
2017,Karl-Anthony Towns,21,0,0,0,2,82,82,3030,37,26,0.618,0.186,0.289,11.2,27.8,19.4,13.2,1,2.9,11.3,27.5,9.9,2.8,12.7,0.201,4.8,0.3,5,5.4,802,9.8,1479,18,0.542,101,1.2,275,3.4,0.367,701,1204,0.582,0.576,356,4.3,428,5.2,0.832,296,3.6,711,8.7,1007,12.3,220,2.7,57,0.7,103,1.3,212,2.6,241,2.9,2061,25.1
2018,Karl-Anthony Towns,22,0,1,1,2,82,82,2918,35.6,24.9,0.646,0.243,0.343,9.3,30.9,20,10.8,1.1,3.5,10.5,22.8,10.6,3.4,14,0.23,4.4,1.1,5.5,5.5,639,7.8,1172,14.3,0.545,120,1.5,285,3.5,0.421,367,721,0.509,0.596,345,4.2,402,4.9,0.858,238,2.9,774,9.4,1012,12.3,199,2.4,64,0.8,115,1.4,159,1.9,285,3.5,1743,21.3
2019,Karl-Anthony Towns,23,0,1,2,2,77,77,2545,33.1,26.3,0.622,0.278,0.343,10.9,29.3,20,17.2,1.3,4.2,13.7,28.9,7.2,3.2,10.4,0.197,4.8,2,6.8,5.7,681,8.8,1314,17.1,0.518,142,1.8,355,4.6,0.4,681,959,0.71,0.572,376,4.9,450,5.8,0.836,263,3.4,691,9,954,12.4,259,3.4,67,0.9,125,1.6,240,3.1,292,3.8,1880,24.4
2012,Kyrie Irving,19,6,0,0,2,51,51,1558,30.5,21.4,0.566,0.245,0.262,3.1,11.2,7,36.5,1.8,1,16.1,28.7,3.4,0.6,4.1,0.125,4.9,-1.7,3.3,2.1,350,6.9,747,14.6,0.469,73,1.4,183,3.6,0.399,277,564,0.491,0.517,171,3.4,196,3.8,0.872,44,0.9,147,2.9,191,3.7,275,5.4,54,1.1,20,0.4,160,3.1,110,2.2,944,18.5
2013,Kyrie Irving,20,6,0,0,2,59,59,2048,34.7,21.4,0.553,0.261,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,4.2,1.1,5.3,0.125,4.9,-1.6,3.3,2.8,484,8.2,1070,18.1,0.452,109,1.8,279,4.7,0.391,375,791,0.474,0.503,248,4.2,290,4.9,0.855,34,0.6,182,3.1,216,3.7,350,5.9,89,1.5,21,0.4,191,3.2,146,2.5,1325,22.5
2014,Kyrie Irving,21,6,0,0,2,71,71,2496,35.2,20.1,0.533,0.278,0.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,4.6,2.1,6.7,0.128,4.1,-0.9,3.2,3.3,532,7.5,1237,17.4,0.43,123,1.7,344,4.8,0.358,409,893,0.458,0.48,291,4.1,338,4.8,0.861,52,0.7,207,2.9,259,3.6,433,6.1,108,1.5,23,0.3,190,2.7,163,2.3,1478,20.8
2015,Kyrie Irving,22,6,1,1,2,75,75,2730,36.4,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7,578,7.7,1235,16.5,0.468,157,2.1,378,5,0.415,421,857,0.491,0.532,315,4.2,365,4.9,0.863,55,0.7,182,2.4,237,3.2,389,5.2,114,1.5,20,0.3,186,2.5,146,1.9,1628,21.7
2016,Kyrie Irving,23,6,0,1,2,53,53,1667,31.5,19.9,0.54,0.298,0.217,3,7.6,5.3,26.6,1.7,0.9,11.4,29.5,3.2,1.7,5,0.143,3,-1.4,1.6,1.5,394,7.4,879,16.6,0.448,84,1.6,262,4.9,0.321,310,617,0.502,0.496,169,3.2,191,3.6,0.885,44,0.8,113,2.1,157,3,249,4.7,56,1.1,18,0.3,124,2.3,107,2,1041,19.6
