A.C. Green,1995.5,31.5,3.0,0.0,0.0,0.0,79.42,51.08,2302.0,28.65,13.81,0.53,0.06,0.42,10.15,18.58,14.38,5.52,1.37,0.72,10.75,14.43,3.52,2.42,5.93,0.12,-0.54,0.31,-0.24,1.23,274.67,3.42,569.08,7.09,0.48,9.92,0.12,38.25,0.47,0.18,264.75,530.83,0.49,0.48,185.17,2.27,255.25,3.16,0.71,206.75,2.58,378.92,4.71,585.67,7.29,88.83,1.1,61.08,0.77,26.42,0.33,82.83,1.02,138.33,1.72,744.42,9.23
A.J. Price,2012.5,25.5,6.0,0.0,0.0,0.0,43.5,4.17,654.83,13.77,11.72,0.48,0.47,0.17,1.88,9.03,5.43,23.08,1.43,0.13,12.52,21.13,0.18,0.57,0.78,0.04,-0.67,-2.45,-3.1,-0.07,91.5,1.95,240.67,5.13,0.38,36.33,0.75,115.0,2.43,0.3,55.17,125.67,0.45,0.45,34.5,0.72,46.5,0.97,0.62,11.33,0.23,51.5,1.08,62.83,1.33,94.5,2.0,20.83,0.43,1.5,0.03,38.17,0.8,39.5,0.82,253.83,5.35
Aaron Brooks,2012.56,27.56,6.0,0.0,0.0,0.0,68.11,20.22,1472.22,20.84,12.79,0.52,0.41,0.19,2.12,6.96,4.54,23.38,1.36,0.56,14.81,22.44,1.16,0.96,2.12,0.06,0.23,-2.47,-2.21,0.09,248.11,3.47,601.0,8.42,0.41,89.89,1.24,243.0,3.42,0.36,158.22,358.0,0.45,0.49,101.0,1.42,120.44,1.68,0.83,27.44,0.39,90.56,1.29,118.0,1.67,211.67,3.0,39.22,0.57,9.67,0.14,109.89,1.56,132.11,1.89,687.11,9.61
Aaron Gray,2011.0,26.0,0.0,0.0,0.0,0.0,45.43,12.43,550.14,11.99,11.56,0.53,0.0,0.38,13.19,22.84,17.99,8.69,1.29,1.81,21.61,15.01,0.2,0.7,0.87,0.08,-2.71,0.97,-1.73,0.01,62.86,1.33,123.43,2.61,0.51,0.0,0.0,0.43,0.0,0.18,62.86,123.0,0.51,0.51,26.57,0.54,47.29,0.99,0.57,61.57,1.33,108.43,2.36,170.0,3.73,29.57,0.66,13.43,0.3,12.43,0.26,37.86,0.81,96.86,2.09,152.29,3.24
Aaron McKie,2001.0,28.0,12.0,0.0,0.0,0.0,61.0,22.08,1473.54,22.26,11.73,0.5,0.2,0.21,2.81,13.3,8.05,17.11,2.45,0.61,16.68,14.35,1.05,2.01,3.08,0.09,-1.41,1.25,-0.15,0.98,174.23,2.58,398.23,5.85,0.43,29.85,0.42,85.31,1.21,0.31,144.38,312.92,0.46,0.47,73.31,1.05,94.15,1.36,0.74,37.08,0.55,161.92,2.5,199.0,3.05,163.54,2.45,70.15,1.03,12.62,0.2,81.46,1.22,122.15,1.85,451.62,6.63
Aaron Williams,2001.36,29.36,3.0,0.0,0.0,0.0,51.07,5.57,857.14,13.96,11.09,0.52,0.01,0.38,9.32,17.9,13.55,6.02,1.21,3.25,15.93,17.59,0.96,1.06,2.06,0.06,-4.01,0.09,-3.9,0.21,112.29,1.79,227.86,3.67,0.47,0.07,0.0,1.14,0.01,0.11,112.21,226.71,0.47,0.47,69.64,1.09,94.14,1.49,0.69,72.57,1.18,126.71,2.07,199.29,3.25,34.64,0.54,20.14,0.34,38.5,0.62,47.36,0.79,125.0,2.11,294.29,4.66
Adam Keefe,1997.0,26.0,3.0,0.0,0.0,0.0,68.56,10.89,1148.22,16.21,12.24,0.54,0.01,0.54,11.41,17.6,14.54,6.26,1.54,1.33,17.27,14.43,1.47,1.3,2.77,0.1,-1.44,0.62,-0.81,0.54,124.44,1.74,247.78,3.49,0.48,0.11,0.0,1.56,0.01,0.14,124.33,246.22,0.49,0.49,96.22,1.36,134.78,1.91,0.71,111.0,1.53,173.0,2.46,284.0,3.99,47.44,0.66,34.11,0.49,19.22,0.27,60.56,0.87,123.78,1.77,345.22,4.82
Adonal Foyle,2003.5,27.5,0.0,0.0,0.0,0.0,61.08,22.42,1088.33,16.45,12.77,0.5,0.0,0.29,11.3,19.71,15.45,4.07,0.94,6.53,16.62,12.45,0.27,1.29,1.56,0.08,-3.86,2.91,-0.96,0.31,109.83,1.67,230.5,3.52,0.49,0.0,0.0,0.17,0.0,0.26,109.83,230.33,0.49,0.49,29.42,0.46,58.92,0.94,0.49,108.42,1.68,180.0,2.8,288.42,4.48,28.67,0.44,22.0,0.31,99.42,1.49,49.75,0.77,131.25,1.97,249.08,3.78
Adrian Caldwell,1995.4,28.4,3.0,0.0,0.0,0.0,29.2,0.2,254.4,6.9,6.18,0.46,0.03,0.59,8.94,19.44,14.32,1.84,1.46,0.78,19.54,11.04,-0.18,0.34,0.12,0.02,-6.6,-0.86,-7.42,-0.24,24.4,0.54,52.4,1.24,0.42,0.0,0.0,0.6,0.0,0.19,24.4,51.8,0.43,0.43,9.8,0.3,21.8,0.62,0.52,28.8,0.64,48.6,1.28,77.4,1.94,5.2,0.12,9.0,0.24,4.6,0.1,18.8,0.42,40.2,1.0,58.6,1.38
Adrian Griffin,2004.0,29.0,12.0,0.0,0.0,0.0,53.0,19.89,888.56,15.33,10.56,0.45,0.09,0.21,6.99,14.61,10.8,12.33,2.81,0.63,15.2,12.8,0.66,1.14,1.81,0.08,-2.17,2.08,-0.11,0.69,87.22,1.48,199.33,3.38,0.41,5.56,0.1,20.0,0.32,0.25,81.67,179.33,0.42,0.42,33.22,0.54,43.56,0.71,0.67,56.33,0.96,111.67,1.93,168.0,2.88,72.56,1.24,48.44,0.82,6.56,0.13,36.78,0.63,97.67,1.67,213.22,3.58
Al Harrington,2006.5,25.5,3.0,0.0,0.0,0.0,61.31,27.81,1750.56,26.09,13.13,0.51,0.25,0.26,6.49,16.3,11.38,9.69,1.57,0.64,13.06,22.96,1.09,1.56,2.66,0.06,-0.82,-1.06,-1.89,0.34,314.25,4.64,707.38,10.54,0.43,61.06,0.91,173.62,2.64,0.29,253.19,533.75,0.47,0.47,137.75,2.02,189.38,2.76,0.72,93.44,1.4,249.19,3.72,342.62,5.13,103.06,1.52,53.62,0.79,15.38,0.23,114.88,1.72,191.81,2.94,827.31,12.2
