Year,Player,Age,Pos,All NBA Total Career,PER
1990,A.C. Green,26,PF,0,14.7
1991,A.C. Green,27,PF,0,13.8
1992,A.C. Green,28,PF,0,16.7
1993,A.C. Green,29,PF,0,16.3
1994,A.C. Green,30,PF,0,17
1995,A.C. Green,31,SF,0,14.2
1996,A.C. Green,32,SF,0,12.9
1997,A.C. Green,33,PF,0,12.4
1997,A.C. Green,33,PF,0,11.6
1997,A.C. Green,33,PF,0,12.6
1998,A.C. Green,34,PF,0,12.8
1999,A.C. Green,35,PF,0,12.5
2000,A.C. Green,36,PF,0,11.2
2001,A.C. Green,37,PF,0,11.2
2000,A.J. Bramlett,23,C,0,-0.4
1991,A.J. English,23,SG,0,10.6
1992,A.J. English,24,SG,0,12.5
2001,A.J. Guyton,22,PG,0,10.3
2002,A.J. Guyton,23,PG,0,11.8
2003,A.J. Guyton,24,PG,0,-9
2017,A.J. Hammons,24,C,0,8.4
2010,A.J. Price,23,PG,0,14
2011,A.J. Price,24,PG,0,10.7
2012,A.J. Price,25,PG,0,11.5
2013,A.J. Price,26,PG,0,12.4
2014,A.J. Price,27,SG,0,9.7
2015,A.J. Price,28,PG,0,12
2015,A.J. Price,28,PG,0,17.1
2015,A.J. Price,28,PG,0,7.7
2015,A.J. Price,28,PG,0,-1.6
1991,A.J. Wynder,26,PG,0,7.6
2008,Aaron Brooks,23,PG,0,13.1
2009,Aaron Brooks,24,PG,0,12.9
2010,Aaron Brooks,25,PG,0,16
2011,Aaron Brooks,26,PG,0,13.1
2011,Aaron Brooks,26,PG,0,11.7
2011,Aaron Brooks,26,PG,0,15.6
2013,Aaron Brooks,28,PG,0,11.8
2013,Aaron Brooks,28,PG,0,12.1
2013,Aaron Brooks,28,PG,0,5.6
2014,Aaron Brooks,29,PG,0,12.5
2014,Aaron Brooks,29,PG,0,11.9
2014,Aaron Brooks,29,PG,0,12.9
2015,Aaron Brooks,30,PG,0,14.4
2016,Aaron Brooks,31,PG,0,11.8
2017,Aaron Brooks,32,PG,0,9.5
2015,Aaron Gordon,19,PF,0,11.4
2016,Aaron Gordon,20,PF,0,17
2017,Aaron Gordon,21,SF,0,14.4
2008,Aaron Gray,23,C,0,13.9
2009,Aaron Gray,24,C,0,11.5
2010,Aaron Gray,25,C,0,16.6
2010,Aaron Gray,25,C,0,7
2010,Aaron Gray,25,C,0,18.4
2011,Aaron Gray,26,C,0,11
2012,Aaron Gray,27,C,0,11.1
2013,Aaron Gray,28,C,0,9
2014,Aaron Gray,29,C,0,7.8
2014,Aaron Gray,29,C,0,5.7
2014,Aaron Gray,29,C,0,7.9
2016,Aaron Harrison,21,SG,0,4.3
2017,Aaron Harrison,22,SG,0,-2.2
1995,Aaron McKie,22,SG,0,13.3
1996,Aaron McKie,23,SG,0,13.4
1997,Aaron McKie,24,SG,0,12.1
1997,Aaron McKie,24,SG,0,9.1
1997,Aaron McKie,24,SG,0,14.8
1998,Aaron McKie,25,SG-SF,0,8.6
1998,Aaron McKie,25,SF,0,10.1
1998,Aaron McKie,25,SG,0,8.1
1999,Aaron McKie,26,SG,0,11.4
2000,Aaron McKie,27,SG,0,13.2
2001,Aaron McKie,28,SG,0,15.1
2002,Aaron McKie,29,SG,0,15.8
2003,Aaron McKie,30,SF,0,13.7
2004,Aaron McKie,31,SF,0,13.9
2005,Aaron McKie,32,SG,0,8.4
2006,Aaron McKie,33,PG,0,6.1
2007,Aaron McKie,34,SF,0,7.5
2006,Aaron Miles,22,PG,0,6
1995,Aaron Swinson,24,SF,0,11.7
1994,Aaron Williams,22,PF,0,-7
1995,Aaron Williams,23,PF,0,7
1997,Aaron Williams,25,PF-C,0,16.4
1997,Aaron Williams,25,C,0,19.1
1997,Aaron Williams,25,PF,0,16.4
1998,Aaron Williams,26,PF,0,13.4
1999,Aaron Williams,27,PF,0,15.2
2000,Aaron Williams,28,PF,0,17.7
2001,Aaron Williams,29,PF,0,15.1
2002,Aaron Williams,30,PF,0,15.2
2003,Aaron Williams,31,C,0,11.9
2004,Aaron Williams,32,C,0,13.2
2005,Aaron Williams,33,C,0,5.9
2005,Aaron Williams,33,C,0,8.9
2005,Aaron Williams,33,C,0,3.3
2006,Aaron Williams,34,C,0,11.6
2006,Aaron Williams,34,C,0,7.2
2006,Aaron Williams,34,C,0,12.2
2007,Aaron Williams,35,PF,0,9.4
2008,Aaron Williams,36,C,0,10.3
1994,Acie Earl,23,C,0,9.2
1995,Acie Earl,24,C,0,6.6
1996,Acie Earl,25,C,0,14.1
1997,Acie Earl,26,C,0,10.7
1997,Acie Earl,26,C,0,10
1997,Acie Earl,26,C,0,18.6
2008,Acie Law,23,PG,0,7.7
2009,Acie Law,24,PG,0,10.6
2010,Acie Law,25,PG,0,16
2010,Acie Law,25,PG,0,21.3
2010,Acie Law,25,PG,0,7.5
2010,Acie Law,25,PG,0,15.4
2011,Acie Law,26,PG,0,9.9
2011,Acie Law,26,PG,0,0.4
2011,Acie Law,26,PG,0,11.3
2003,Adam Harrington,22,SG,0,7.4
2003,Adam Harrington,22,SG,0,1.4
2003,Adam Harrington,22,SG,0,10.4
1993,Adam Keefe,22,PF,0,13.6
1994,Adam Keefe,23,PF,0,12
1995,Adam Keefe,24,SF,0,15.1
1996,Adam Keefe,25,PF,0,13.8
1997,Adam Keefe,26,C,0,11.7
1998,Adam Keefe,27,C,0,14.5
1999,Adam Keefe,28,PF,0,12.2
2000,Adam Keefe,29,C,0,7.6
2001,Adam Keefe,30,PF,0,9.7
2007,Adam Morrison,22,PF,0,7.9
2009,Adam Morrison,24,SF,0,5.7
2009,Adam Morrison,24,SF,0,5.8
2009,Adam Morrison,24,SF,0,2.9
